Accession	Virus_Name	NCBI_Taxonomy	Viruses	Realm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species
NP_040980	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Alphainfluenzavirus	-	Alphainfluenzavirus influenzae
NP_040981	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Alphainfluenzavirus	-	Alphainfluenzavirus influenzae
NP_040982	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Alphainfluenzavirus	-	Alphainfluenzavirus influenzae
NP_040983	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Alphainfluenzavirus	-	Alphainfluenzavirus influenzae
NP_040984	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Alphainfluenzavirus	-	Alphainfluenzavirus influenzae
NP_040987	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Alphainfluenzavirus	-	Alphainfluenzavirus influenzae
NP_056658	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056659	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056660	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056661	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056662	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056663	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056664	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056665	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056666	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_039809	Artichoke mottled crinkle virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Tolucaviricetes;Tolivirales;Tombusviridae;Procedovirinae;Tombusvirus;Tombusvirus cynarae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Tolucaviricetes	-	Tolivirales	-	Tombusviridae	Procedovirinae	Tombusvirus	-	Tombusvirus cynarae
NP_039810	Artichoke mottled crinkle virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Tolucaviricetes;Tolivirales;Tombusviridae;Procedovirinae;Tombusvirus;Tombusvirus cynarae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Tolucaviricetes	-	Tolivirales	-	Tombusviridae	Procedovirinae	Tombusvirus	-	Tombusvirus cynarae
